,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
0,1.0,Los Angeles Rams,16.0,296.0,4511.0,989.0,4.6,22.0,8.0,280.0,347.0,548.0,3051.0,17.0,14.0,5.1,170.0,388.0,1460.0,12.0,3.8,91.0,78.0,582.0,19.0,27.9,12.0,85.89
1,2.0,Baltimore Ravens,16.0,303.0,5276.0,1017.0,5.2,22.0,12.0,347.0,380.0,596.0,3536.0,22.0,10.0,5.6,213.0,382.0,1740.0,12.0,4.6,96.0,77.0,646.0,38.0,30.0,12.4,-17.69
2,3.0,Pittsburgh Steelers,16.0,312.0,4893.0,996.0,4.9,27.0,9.0,281.0,298.0,526.0,3110.0,22.0,18.0,5.3,163.0,414.0,1783.0,13.0,4.3,94.0,103.0,980.0,24.0,29.3,13.8,33.24
3,4.0,Washington Football Team,16.0,329.0,4873.0,1004.0,4.9,23.0,7.0,289.0,330.0,529.0,3068.0,21.0,16.0,5.3,161.0,428.0,1805.0,14.0,4.2,100.0,85.0,708.0,28.0,31.4,12.2,32.51
4,5.0,New Orleans Saints,16.0,337.0,4974.0,992.0,5.0,26.0,8.0,320.0,333.0,557.0,3472.0,28.0,18.0,5.8,185.0,390.0,1502.0,11.0,3.9,85.0,64.0,517.0,50.0,34.7,13.1,-40.02
5,6.0,Miami Dolphins,16.0,338.0,5886.0,998.0,5.9,29.0,11.0,336.0,343.0,545.0,4024.0,21.0,18.0,6.9,193.0,412.0,1862.0,17.0,4.5,113.0,85.0,805.0,30.0,30.7,15.6,-36.43
6,7.0,New England Patriots,16.0,353.0,5660.0,982.0,5.8,22.0,4.0,339.0,333.0,494.0,3557.0,22.0,18.0,6.9,187.0,464.0,2103.0,17.0,4.5,131.0,82.0,639.0,21.0,38.9,14.0,-113.1
7,8.0,Tampa Bay Buccaneers,16.0,355.0,5234.0,1023.0,5.1,25.0,10.0,319.0,426.0,617.0,3945.0,29.0,15.0,5.9,215.0,358.0,1289.0,10.0,3.6,78.0,95.0,1015.0,26.0,33.7,14.0,-22.04
8,9.0,New York Giants,16.0,357.0,5589.0,1046.0,5.3,22.0,11.0,353.0,388.0,574.0,3807.0,22.0,11.0,6.2,215.0,432.0,1782.0,14.0,4.1,115.0,88.0,681.0,23.0,41.5,12.2,-66.94
9,10.0,Indianapolis Colts,16.0,362.0,5314.0,992.0,5.4,25.0,10.0,329.0,369.0,562.0,3866.0,24.0,15.0,6.4,203.0,390.0,1448.0,16.0,3.7,94.0,86.0,755.0,32.0,35.1,14.3,-75.62
10,11.0,Kansas City Chiefs,16.0,362.0,5733.0,1022.0,5.6,22.0,6.0,353.0,349.0,557.0,3779.0,29.0,16.0,6.4,202.0,433.0,1954.0,14.0,4.5,113.0,97.0,760.0,38.0,36.1,13.0,-127.89
11,12.0,Arizona Cardinals,16.0,367.0,5631.0,1054.0,5.3,21.0,10.0,363.0,365.0,570.0,3623.0,26.0,11.0,5.9,207.0,436.0,2008.0,13.0,4.6,118.0,104.0,841.0,38.0,37.2,10.5,-82.04
12,13.0,Green Bay Packers,16.0,369.0,5344.0,974.0,5.5,18.0,7.0,332.0,346.0,536.0,3539.0,23.0,11.0,6.1,184.0,397.0,1805.0,16.0,4.5,119.0,79.0,734.0,29.0,39.9,11.4,-109.67
13,14.0,Chicago Bears,16.0,370.0,5519.0,1020.0,5.4,18.0,8.0,331.0,350.0,547.0,3705.0,28.0,10.0,6.4,190.0,438.0,1814.0,11.0,4.1,104.0,95.0,861.0,37.0,38.0,8.9,-90.3
14,15.0,Seattle Seahawks,16.0,371.0,6089.0,1112.0,5.5,22.0,8.0,376.0,450.0,674.0,4560.0,23.0,14.0,6.3,253.0,392.0,1529.0,18.0,3.9,97.0,94.0,803.0,26.0,40.0,12.0,-85.81
15,16.0,Buffalo Bills,16.0,375.0,5640.0,1025.0,5.5,26.0,11.0,351.0,369.0,573.0,3726.0,23.0,15.0,6.1,199.0,414.0,1914.0,21.0,4.6,125.0,86.0,728.0,27.0,39.4,15.3,-123.1
16,17.0,San Francisco 49ers,16.0,390.0,5030.0,997.0,5.0,20.0,8.0,311.0,341.0,537.0,3327.0,25.0,12.0,5.9,176.0,430.0,1703.0,12.0,4.0,102.0,79.0,709.0,33.0,38.3,10.4,-16.82
17,18.0,Carolina Panthers,16.0,402.0,5761.0,1022.0,5.6,22.0,15.0,360.0,398.0,585.0,3825.0,28.0,7.0,6.2,211.0,408.0,1936.0,17.0,4.7,114.0,85.0,713.0,35.0,46.0,12.4,-125.54
18,19.0,Atlanta Falcons,16.0,414.0,6374.0,1034.0,6.2,21.0,9.0,367.0,425.0,625.0,4697.0,34.0,12.0,7.2,239.0,380.0,1677.0,15.0,4.4,97.0,91.0,800.0,31.0,42.0,12.1,-148.58
19,20.0,Philadelphia Eagles,16.0,418.0,5810.0,1060.0,5.5,19.0,11.0,340.0,364.0,530.0,3798.0,27.0,8.0,6.6,209.0,481.0,2012.0,20.0,4.2,98.0,112.0,1036.0,33.0,37.8,9.2,-71.06
20,21.0,Cleveland Browns,16.0,419.0,5735.0,1035.0,5.5,21.0,10.0,352.0,371.0,585.0,3962.0,31.0,11.0,6.4,214.0,412.0,1773.0,16.0,4.3,116.0,84.0,690.0,22.0,43.0,12.7,-150.42
21,22.0,Cincinnati Bengals,16.0,424.0,6227.0,1021.0,6.1,17.0,6.0,343.0,340.0,541.0,3859.0,32.0,11.0,6.9,192.0,463.0,2368.0,13.0,5.1,126.0,99.0,795.0,25.0,43.3,9.4,-142.2
22,23.0,Los Angeles Chargers,16.0,426.0,5495.0,997.0,5.5,19.0,7.0,324.0,340.0,543.0,3578.0,29.0,12.0,6.3,186.0,427.0,1917.0,17.0,4.5,112.0,94.0,869.0,26.0,43.5,10.0,-89.82
23,24.0,Tennessee Titans,16.0,439.0,6372.0,1076.0,5.9,23.0,8.0,391.0,423.0,630.0,4439.0,36.0,15.0,6.8,247.0,427.0,1933.0,18.0,4.5,113.0,103.0,840.0,31.0,45.2,13.3,-185.2
24,25.0,Denver Broncos,16.0,446.0,5887.0,1043.0,5.6,16.0,6.0,333.0,374.0,567.0,3807.0,21.0,10.0,6.3,201.0,434.0,2080.0,22.0,4.8,106.0,106.0,952.0,26.0,44.6,8.2,-92.82
25,26.0,New York Jets,16.0,457.0,6201.0,1081.0,5.7,19.0,9.0,381.0,418.0,605.0,4409.0,34.0,10.0,6.9,235.0,445.0,1792.0,16.0,4.0,100.0,99.0,899.0,46.0,44.6,10.7,-169.15
26,27.0,Houston Texans,16.0,464.0,6668.0,1068.0,6.2,9.0,6.0,390.0,377.0,541.0,4104.0,30.0,3.0,7.1,222.0,493.0,2564.0,24.0,5.2,145.0,76.0,678.0,23.0,47.0,5.4,-242.84
27,28.0,Dallas Cowboys,16.0,473.0,6183.0,1054.0,5.9,23.0,13.0,359.0,328.0,513.0,3642.0,34.0,10.0,6.7,180.0,510.0,2541.0,20.0,5.0,142.0,91.0,733.0,37.0,43.1,12.2,-141.7
28,29.0,Minnesota Vikings,16.0,475.0,6292.0,1036.0,6.1,22.0,7.0,366.0,358.0,541.0,4141.0,30.0,15.0,7.3,208.0,472.0,2151.0,19.0,4.6,136.0,83.0,723.0,22.0,50.0,10.7,-180.29
29,30.0,Las Vegas Raiders,16.0,478.0,6225.0,1039.0,6.0,15.0,5.0,381.0,370.0,580.0,4212.0,28.0,10.0,7.0,223.0,438.0,2013.0,24.0,4.6,114.0,95.0,915.0,44.0,50.3,8.4,-211.22
30,31.0,Jacksonville Jaguars,16.0,492.0,6683.0,1068.0,6.3,17.0,5.0,394.0,370.0,533.0,4231.0,34.0,12.0,7.7,210.0,517.0,2452.0,23.0,4.7,140.0,78.0,710.0,44.0,47.8,9.2,-228.53
31,32.0,Detroit Lions,16.0,519.0,6716.0,1068.0,6.3,12.0,5.0,415.0,383.0,557.0,4558.0,38.0,7.0,7.8,253.0,487.0,2158.0,27.0,4.4,127.0,103.0,797.0,35.0,47.9,7.1,-283.04
32,,Avg Team,,396.6,5744.5,1029.5,5.6,20.8,8.4,347.1,367.4,563.1,3842.4,27.2,12.3,6.4,204.6,431.0,1902.1,16.6,4.4,111.3,89.9,778.6,31.2,39.8,11.4,-103.7
33,,League Total,,12692.0,183825.0,32945.0,5.6,665.0,270.0,11106.0,11756.0,18018.0,122957.0,871.0,395.0,6.4,6546.0,13792.0,60868.0,532.0,4.4,3561.0,2876.0,24914.0,999.0,39.8,11.4,
34,,Avg Tm/G,,24.8,359.0,64.3,5.6,1.3,0.5,21.7,23.0,35.2,240.2,1.7,0.8,6.4,12.8,26.9,118.9,1.0,4.4,7.0,5.6,48.7,2.0,39.8,11.4,
