,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
22,23.0,New York Giants,16.0,412.0,5942.0,1034.0,5.7,21.0,5.0,346.0,362.0,560.0,4044.0,24.0,16.0,6.9,205.0,444.0,1898.0,18.0,4.3,103.0,110.0,919.0,38.0,40.9,11.6,-107.2
23,24.0,Kansas City Chiefs,16.0,421.0,6488.0,1109.0,5.9,27.0,12.0,419.0,406.0,632.0,4374.0,30.0,15.0,6.4,247.0,425.0,2114.0,19.0,5.0,129.0,107.0,881.0,43.0,40.8,14.9,-163.28
24,25.0,Atlanta Falcons,16.0,423.0,6152.0,1031.0,6.0,19.0,4.0,375.0,398.0,585.0,4153.0,33.0,15.0,6.7,226.0,409.0,1999.0,16.0,4.9,115.0,108.0,1001.0,34.0,41.5,10.5,-159.71
25,26.0,Arizona Cardinals,16.0,425.0,5741.0,1065.0,5.4,16.0,9.0,357.0,342.0,506.0,3262.0,21.0,7.0,5.9,186.0,510.0,2479.0,25.0,4.9,139.0,100.0,790.0,32.0,38.0,8.6,-85.72
26,27.0,Miami Dolphins,16.0,433.0,6257.0,1024.0,6.1,28.0,7.0,350.0,335.0,508.0,3932.0,31.0,21.0,7.3,195.0,485.0,2325.0,17.0,4.8,116.0,107.0,856.0,39.0,39.9,14.2,-124.79
27,28.0,San Francisco 49ers,16.0,435.0,5546.0,1023.0,5.4,7.0,5.0,337.0,344.0,542.0,3732.0,35.0,2.0,6.4,195.0,444.0,1814.0,13.0,4.1,104.0,117.0,1011.0,38.0,39.8,3.9,-126.92
28,29.0,New York Jets,16.0,441.0,6086.0,1061.0,5.7,20.0,7.0,343.0,367.0,582.0,4065.0,29.0,13.0,6.5,201.0,440.0,2021.0,16.0,4.6,104.0,95.0,817.0,38.0,39.1,9.9,-73.31
29,30.0,Cincinnati Bengals,16.0,455.0,6618.0,1084.0,6.1,18.0,6.0,372.0,389.0,584.0,4414.0,32.0,12.0,7.1,221.0,466.0,2204.0,17.0,4.7,125.0,113.0,944.0,26.0,46.3,10.2,-164.84
30,31.0,Tampa Bay Buccaneers,16.0,464.0,6134.0,998.0,6.1,17.0,8.0,356.0,387.0,534.0,4151.0,34.0,9.0,7.3,209.0,426.0,1983.0,19.0,4.7,122.0,127.0,1156.0,25.0,40.7,8.2,-152.18
31,32.0,Oakland Raiders,16.0,467.0,6102.0,973.0,6.3,17.0,3.0,317.0,299.0,480.0,3853.0,36.0,14.0,7.8,178.0,480.0,2249.0,16.0,4.7,108.0,117.0,991.0,31.0,44.3,9.8,-172.07
32,,Avg Team,,373.5,5635.6,1007.0,5.6,21.8,8.7,326.9,358.2,552.2,3804.3,26.5,13.1,6.4,196.1,414.8,1831.3,13.7,4.4,100.2,107.7,919.5,30.6,36.5,11.8,-68.5
33,,League Total,,11952.0,180338.0,32224.0,5.6,696.0,277.0,10462.0,11462.0,17671.0,121737.0,847.0,419.0,6.4,6276.0,13272.0,58601.0,439.0,4.4,3206.0,3445.0,29423.0,980.0,36.5,11.8,
34,,Avg Tm/G,,23.3,352.2,62.9,5.6,1.4,0.5,20.4,22.4,34.5,237.8,1.7,0.8,6.4,12.3,25.9,114.5,0.9,4.4,6.3,6.7,57.5,1.9,36.5,11.8,
